Date:;202320113722
Participant:;2
Block;Trial;Haptic;Color;A1;A2
Solid;2;False;Red;2, Neutral;4, FullyAgree
Solid;3;True;Blue;1, Disagree;4, FullyAgree
Solid;4;True;Neutral;2, Neutral;2, Neutral
Solid;5;True;Neutral;3, Agree;3, Agree
Gas;1;False;Blue;4, FullyAgree;4, FullyAgree
Gas;2;True;Red;4, FullyAgree;3, Agree
Gas;3;True;Blue;2, Neutral;2, Neutral
Gas;4;False;Blue;1, Disagree;1, Disagree
Gas;5;False;Blue;1, Disagree;0, FullyDisagree
Liquid;1;True;Blue;2, Neutral;1, Disagree
Liquid;2;False;Blue;3, Agree;3, Agree
Liquid;3;True;Neutral;1, Disagree;1, Disagree
Liquid;4;False;Neutral;1, Disagree;1, Disagree
Liquid;5;True;Blue;1, Disagree;1, Disagree
