Date:;202320120240
Participant:;2
Block;Trial;Haptic;Color;A1;A2
Solid;2;False;Red;3, Agree;1, Disagree
Solid;3;False;Blue;3, Agree;4, FullyAgree
Solid;4;True;Blue;3, Agree;3, Agree
Solid;5;False;Neutral;3, Agree;3, Agree
Gas;1;True;Red;3, Agree;3, Agree
Gas;2;False;Neutral;3, Agree;3, Agree
Gas;3;True;Blue;3, Agree;3, Agree
Gas;4;True;Blue;3, Agree;3, Agree
Gas;5;False;Blue;3, Agree;4, FullyAgree
Liquid;1;True;Red;3, Agree;1, Disagree
Liquid;2;False;Blue;1, Disagree;1, Disagree
Liquid;3;False;Red;2, Neutral;2, Neutral
Liquid;4;True;Neutral;4, FullyAgree;0, FullyDisagree
Liquid;5;False;Neutral;4, FullyAgree;4, FullyAgree
