Date:;202312160404
Participant:;1
B-LS Block:;Solid;Liquid;Gas
Block 0:;Solid;Config:;(Red, True)
Trial:;5
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
Block 0:;Solid;Config:;(Blue, False)
Trial:;4
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
Block 0:;Solid;Config:;(Blue, True)
Trial:;3
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
Block 0:;Solid;Config:;(Neutral, True)
Trial:;2
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
Block 0:;Solid;Config:;(Neutral, False)
Trial:;1
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
Block 0:;Solid;Config:;(Red, False)
Trial:;0
Answer 1:;FullyDisagree;Answer 2:;FullyDisagree
