Date:;202317151613
Participant:;2
Block;Trial;Haptic;Color;A1;A2
Solid;2;True;Blue;FullyDisagree;FullyDisagree
Solid;3;True;Neutral;FullyDisagree;Disagree
Solid;4;True;Red;Disagree;Disagree
Solid;5;False;Blue;Neutral;Neutral
Gas;1;True;Neutral;Neutral;Agree
Gas;2;True;Neutral;Agree;Agree
Gas;3;False;Neutral;FullyAgree;FullyAgree
Gas;4;False;Neutral;FullyAgree;FullyDisagree
Gas;5;True;Red;FullyDisagree;FullyDisagree
Liquid;1;False;Blue;Disagree;Disagree
Liquid;2;False;Red;Disagree;Neutral
Liquid;3;False;Neutral;Neutral;Neutral
Liquid;4;False;Neutral;Agree;Agree
Liquid;5;True;Red;Agree;FullyAgree
