Date:;202317144154
Participant:;1
Block;Trial;Haptic;Color;A1;A2
Solid;1;False;Blue;Neutral;Neutral
Solid;2;False;Red;FullyAgree;Agree
Solid;3;False;Neutral;Disagree;Agree
Solid;4;False;Blue;FullyDisagree;Neutral
Solid;5;False;Red;Disagree;Agree
Liquid;0;False;Red;FullyDisagree;Agree
Liquid;1;False;Neutral;Agree;FullyAgree
Liquid;2;True;Neutral;FullyDisagree;Neutral
Liquid;3;True;Blue;Disagree;Agree
Liquid;4;False;Blue;FullyAgree;FullyAgree
Liquid;5;True;Blue;FullyAgree;FullyAgree
Gas;0;True;Red;Neutral;Disagree
Gas;1;True;Neutral;FullyDisagree;FullyDisagree
Gas;2;True;Blue;FullyDisagree;Disagree
Gas;3;True;Red;Disagree;Neutral
Gas;4;True;Blue;Neutral;Agree
Gas;5;True;Blue;FullyAgree;Agree
